order_date_id,order_date,day,month,year,week_day
1,2015-1-1,1,1,2015,5
2,2015-1-1,1,1,2015,5
3,2015-1-1,1,1,2015,5
4,2015-1-1,1,1,2015,5
5,2015-1-1,1,1,2015,5
6,2015-1-1,1,1,2015,5
7,2015-1-1,1,1,2015,5
8,2015-1-1,1,1,2015,5
9,2015-1-1,1,1,2015,5
10,2015-1-1,1,1,2015,5
11,2015-1-1,1,1,2015,5
12,2015-1-1,1,1,2015,5
13,2015-1-1,1,1,2015,5
14,2015-1-1,1,1,2015,5
15,2015-1-1,1,1,2015,5
16,2015-1-1,1,1,2015,5
17,2015-1-1,1,1,2015,5
18,2015-1-1,1,1,2015,5
19,2015-1-1,1,1,2015,5
20,2015-1-1,1,1,2015,5
21,2015-1-1,1,1,2015,5
22,2015-1-1,1,1,2015,5
23,2015-1-1,1,1,2015,5
24,2015-1-1,1,1,2015,5
25,2015-1-1,1,1,2015,5
26,2015-1-1,1,1,2015,5
27,2015-1-1,1,1,2015,5
28,2015-1-1,1,1,2015,5
29,2015-1-1,1,1,2015,5
30,2015-1-1,1,1,2015,5
31,2015-1-1,1,1,2015,5
32,2015-1-1,1,1,2015,5
33,2015-1-1,1,1,2015,5
34,2015-1-1,1,1,2015,5
35,2015-1-1,1,1,2015,5
36,2015-1-1,1,1,2015,5
37,2015-1-1,1,1,2015,5
38,2015-1-1,1,1,2015,5
39,2015-1-1,1,1,2015,5
40,2015-1-1,1,1,2015,5
41,2015-1-1,1,1,2015,5
42,2015-1-1,1,1,2015,5
43,2015-1-1,1,1,2015,5
44,2015-1-1,1,1,2015,5
45,2015-1-1,1,1,2015,5
46,2015-1-1,1,1,2015,5
47,2015-1-1,1,1,2015,5
48,2015-1-1,1,1,2015,5
49,2015-1-1,1,1,2015,5
50,2015-1-1,1,1,2015,5
51,2015-1-1,1,1,2015,5
52,2015-1-1,1,1,2015,5
53,2015-1-1,1,1,2015,5
54,2015-1-1,1,1,2015,5
55,2015-1-1,1,1,2015,5
56,2015-1-1,1,1,2015,5
57,2015-1-1,1,1,2015,5
58,2015-1-1,1,1,2015,5
59,2015-1-1,1,1,2015,5
60,2015-1-1,1,1,2015,5
61,2015-1-1,1,1,2015,5
62,2015-1-1,1,1,2015,5
63,2015-1-1,1,1,2015,5
64,2015-1-1,1,1,2015,5
65,2015-1-1,1,1,2015,5
66,2015-1-1,1,1,2015,5
67,2015-1-1,1,1,2015,5
68,2015-1-1,1,1,2015,5
69,2015-1-1,1,1,2015,5
70,2015-1-2,2,1,2015,6
71,2015-1-2,2,1,2015,6
72,2015-1-2,2,1,2015,6
73,2015-1-2,2,1,2015,6
74,2015-1-2,2,1,2015,6
75,2015-1-2,2,1,2015,6
76,2015-1-2,2,1,2015,6
77,2015-1-2,2,1,2015,6
78,2015-1-2,2,1,2015,6
79,2015-1-2,2,1,2015,6
80,2015-1-2,2,1,2015,6
81,2015-1-2,2,1,2015,6
82,2015-1-2,2,1,2015,6
83,2015-1-2,2,1,2015,6
84,2015-1-2,2,1,2015,6
85,2015-1-2,2,1,2015,6
86,2015-1-2,2,1,2015,6
87,2015-1-2,2,1,2015,6
88,2015-1-2,2,1,2015,6
89,2015-1-2,2,1,2015,6
90,2015-1-2,2,1,2015,6
91,2015-1-2,2,1,2015,6
92,2015-1-2,2,1,2015,6
93,2015-1-2,2,1,2015,6
94,2015-1-2,2,1,2015,6
95,2015-1-2,2,1,2015,6
96,2015-1-2,2,1,2015,6
97,2015-1-2,2,1,2015,6
98,2015-1-2,2,1,2015,6
99,2015-1-2,2,1,2015,6
100,2015-1-2,2,1,2015,6
101,2015-1-2,2,1,2015,6
102,2015-1-2,2,1,2015,6
103,2015-1-2,2,1,2015,6
104,2015-1-2,2,1,2015,6
105,2015-1-2,2,1,2015,6
106,2015-1-2,2,1,2015,6
107,2015-1-2,2,1,2015,6
108,2015-1-2,2,1,2015,6
109,2015-1-2,2,1,2015,6
110,2015-1-2,2,1,2015,6
111,2015-1-2,2,1,2015,6
112,2015-1-2,2,1,2015,6
113,2015-1-2,2,1,2015,6
114,2015-1-2,2,1,2015,6
115,2015-1-2,2,1,2015,6
116,2015-1-2,2,1,2015,6
117,2015-1-2,2,1,2015,6
118,2015-1-2,2,1,2015,6
119,2015-1-2,2,1,2015,6
120,2015-1-2,2,1,2015,6
121,2015-1-2,2,1,2015,6
122,2015-1-2,2,1,2015,6
123,2015-1-2,2,1,2015,6
124,2015-1-2,2,1,2015,6
125,2015-1-2,2,1,2015,6
126,2015-1-2,2,1,2015,6
127,2015-1-2,2,1,2015,6
128,2015-1-2,2,1,2015,6
129,2015-1-2,2,1,2015,6
130,2015-1-2,2,1,2015,6
131,2015-1-2,2,1,2015,6
132,2015-1-2,2,1,2015,6
133,2015-1-2,2,1,2015,6
134,2015-1-2,2,1,2015,6
135,2015-1-2,2,1,2015,6
136,2015-1-2,2,1,2015,6
137,2015-1-3,3,1,2015,7
138,2015-1-3,3,1,2015,7
139,2015-1-3,3,1,2015,7
140,2015-1-3,3,1,2015,7
141,2015-1-3,3,1,2015,7
142,2015-1-3,3,1,2015,7
143,2015-1-3,3,1,2015,7
144,2015-1-3,3,1,2015,7
145,2015-1-3,3,1,2015,7
146,2015-1-3,3,1,2015,7
147,2015-1-3,3,1,2015,7
148,2015-1-3,3,1,2015,7
149,2015-1-3,3,1,2015,7
150,2015-1-3,3,1,2015,7
151,2015-1-3,3,1,2015,7
152,2015-1-3,3,1,2015,7
153,2015-1-3,3,1,2015,7
154,2015-1-3,3,1,2015,7
155,2015-1-3,3,1,2015,7
156,2015-1-3,3,1,2015,7
157,2015-1-3,3,1,2015,7
158,2015-1-3,3,1,2015,7
159,2015-1-3,3,1,2015,7
160,2015-1-3,3,1,2015,7
161,2015-1-3,3,1,2015,7
162,2015-1-3,3,1,2015,7
163,2015-1-3,3,1,2015,7
164,2015-1-3,3,1,2015,7
165,2015-1-3,3,1,2015,7
166,2015-1-3,3,1,2015,7
167,2015-1-3,3,1,2015,7
168,2015-1-3,3,1,2015,7
169,2015-1-3,3,1,2015,7
170,2015-1-3,3,1,2015,7
171,2015-1-3,3,1,2015,7
172,2015-1-3,3,1,2015,7
173,2015-1-3,3,1,2015,7
174,2015-1-3,3,1,2015,7
175,2015-1-3,3,1,2015,7
176,2015-1-3,3,1,2015,7
177,2015-1-3,3,1,2015,7
178,2015-1-3,3,1,2015,7
179,2015-1-3,3,1,2015,7
180,2015-1-3,3,1,2015,7
181,2015-1-3,3,1,2015,7
182,2015-1-3,3,1,2015,7
183,2015-1-3,3,1,2015,7
184,2015-1-3,3,1,2015,7
185,2015-1-3,3,1,2015,7
186,2015-1-3,3,1,2015,7
187,2015-1-3,3,1,2015,7
188,2015-1-3,3,1,2015,7
189,2015-1-3,3,1,2015,7
190,2015-1-3,3,1,2015,7
191,2015-1-3,3,1,2015,7
192,2015-1-3,3,1,2015,7
193,2015-1-3,3,1,2015,7
194,2015-1-3,3,1,2015,7
195,2015-1-3,3,1,2015,7
196,2015-1-3,3,1,2015,7
197,2015-1-3,3,1,2015,7
198,2015-1-3,3,1,2015,7
199,2015-1-3,3,1,2015,7
200,2015-1-3,3,1,2015,7
201,2015-1-3,3,1,2015,7
202,2015-1-3,3,1,2015,7
203,2015-1-4,4,1,2015,1
204,2015-1-4,4,1,2015,1
205,2015-1-4,4,1,2015,1
206,2015-1-4,4,1,2015,1
207,2015-1-4,4,1,2015,1
208,2015-1-4,4,1,2015,1
209,2015-1-4,4,1,2015,1
210,2015-1-4,4,1,2015,1
211,2015-1-4,4,1,2015,1
212,2015-1-4,4,1,2015,1
213,2015-1-4,4,1,2015,1
214,2015-1-4,4,1,2015,1
215,2015-1-4,4,1,2015,1
216,2015-1-4,4,1,2015,1
217,2015-1-4,4,1,2015,1
218,2015-1-4,4,1,2015,1
219,2015-1-4,4,1,2015,1
220,2015-1-4,4,1,2015,1
221,2015-1-4,4,1,2015,1
222,2015-1-4,4,1,2015,1
223,2015-1-4,4,1,2015,1
224,2015-1-4,4,1,2015,1
225,2015-1-4,4,1,2015,1
226,2015-1-4,4,1,2015,1
